index,artist,country
1067,Pozo Seco Singers,US
1068,Preston Epps,US
1069,Pretty Purdie,US
1070,Prince Buster,JM
1071,Procol Harum,GB
1072,Professor Morrison's Lollipop,US
1073,Quicksilver Messenger Service,US
1074,R.B. Greaves,US
1075,Radiants,US
1076,Ral Donner,US
1077,Ramrods,US
1078,Ramsey Lewis,US
1079,Randy & The Rainbows,US
1080,Ray And Bob,US
1081,Ray Anthony,US
1082,Ray Barretto,US
1083,Ray Bryant,US
1084,Ray Charles,US
1085,Ray Conniff,US
1086,Ray Ellis,US
1087,Ray Peterson,US
1088,Ray Price,US
1089,Ray Smith,US
1090,Ray Stevens,US
1091,Raymond Lefevre,FR
1092,Red River Dave,US
1093,Red Skelton,US
1094,Red Sovine,US
1095,Rejoice!,US
1096,Rene & Rene,US
