index,artist
791,Jude Cole
792,Juliana Hatfield
793,Juliet Roberts
794,Junior M.A.F.I.A.
801,K-Ci Hailey
802,K-Nock
803,K-Solo
804,K. Anderson
805,K.M.C. KRU
806,K.P. & Envyi
807,K.W.S.
808,K5
809,K7
810,KAI
811,KISS
812,KIX
815,Kandi
816,Kane Roberts
817,Kaoma
818,Karyn White
819,Katalina
820,Kate Bush
821,Kate Pierson
822,Kathy Troccoli
823,Kayo
824,Keedy
825,Keith Martin
832,Keith Washington
837,Kenny Chesney
838,Kenny G
839,Kenny Lattimore
840,Kenny Loggins
841,Kevin Paige
842,Kevon Edmonds
843,Khadejia
844,Kid 'N Play
845,Kid Frost
846,Kid Rock
847,Kiki Dee
848,Kim Sanders
849,Kimberly Scott
850,King Just
851,Kingofthehill
852,Kinsu
853,Kinsui
854,Kip Winger
855,Kirk Franklin
856,Kobe Bryant
857,Kool G Rap
858,Kool Mo Dee
859,Kris Kross
860,Kristine W
863,Ky-Mani
864,Ky-mani
865,Kym Mazelle
866,Kym Sims
867,Kyper
868,L. Williams
869,L.A. Guns
870,L.A. Style
871,L.A.D.
872,L.B.C. Crew
873,L.F.O. (Lyte Funky Ones)
876,LFO
879,LSG
880,La Bouche
881,LaTanya
882,LaTocha Scott
883,LaTour
884,Lady Saw
885,Laissez Faire
886,Lari White
887,Latin Alliance
888,Laura Branigan
889,Laura Enea
890,Laurnea
891,Lauryn Hill
892,Le Click
895,Leah Andreone
896,Lee Ann Womack
897,Left Eye
898,Legacy Of Sound
899,Leila K
900,Len
901,Lenny Kravitz
902,Leschea
903,Letters To Cleo
904,Levert
905,Leviti
906,Lidell Townsell
907,Lighter Shade Of Brown
908,Lightning Seeds
909,Lil Louis
910,Lil Suzy
911,Lil' Kim
912,"Lil' Troy  
Yungsta
Fat Pat
Lil' Will
Hawk
Big T"
916,Lil'z
917,Lila McCann
920,Lina Santiago
921,Linda Ronstadt
922,Linear
923,Link
924,Lionel Richie
925,Lisa Fischer
926,Lisa Keith
927,Lisa Lisa
930,Lisa Stansfield
931,Lisette Melendez
932,Lit
933,Lita Ford
934,Little Caesar
935,Little Texas
936,Live
937,Livin' Joy
938,Liz Phair
939,Lo-Key?
940,Loleatta Holloway
941,Londonbeat
942,Lonestar
943,Lonnie Gordon
944,Lord Tariq & Peter Gunz
945,Lords Of The Underground
946,Loreena McKennitt
949,Los Del Mar
950,Los Del Rio
951,Los Umbrellos
954,Lou Bega
955,Lou Gramm
956,Louie Louie
957,Love Spit Love
958,Love Tribe
959,Loverboy
960,Lucas
961,Luke
962,Luniz
963,Luscious Jackson
964,Luther Vandross
965,Lutricia McNeal
966,Lysette
967,M People
968,M.C. Brains
969,M.C. Breed
970,M.C. Hammer
971,M.T.F.
972,M2M
973,M:G
974,MC Eiht
975,MC Luscious
979,MC Nas-D
980,MC Ren
981,MC Serch
982,MC Skat Kat
983,MJG
984,Mac Mall
988,Mad Cobra
989,Mad Lion
990,Madonna
991,Mag 7
994,Mandy Moore
997,Mantronix
998,Marc Anthony
999,Marc Cohn
1000,Marc Nelson
1001,Marcia Griffiths
1002,Marcy Playground
1003,Maria Nayler
1006,Mark Chesnutt
1007,Mark Morrison
1008,Mark Wills
1009,Markell
1012,Marsha
1013,Martha Wash
1014,Martika
1015,Martin Page
1016,Martina McBride
1017,Mary Chapin Carpenter
1027,Masta Ace Incorporated
1030,Matthew Sweet
1031,Mavis Staples
1032,Max-A-Million
1036,Maxwell
1037,Mazzy Star
1038,McAuley Schenker Group
1039,Me Phi Me
1040,Me'Shell Ndegeocello
1041,MeShell Ndegeocello
1042,Meat Loaf
1043,Meat Puppets
1044,Megadeth
1045,Meja
1046,Melissa Etheridge
1047,Mellow Man Ace
1048,Memphis Bleek (& Jay-Z)
1049,Men At Large
1050,Men Of Vizion
1051,Mercedes
1052,Meredith Brooks
1053,Merril Bainbridge
1054,Metallica
1061,Mic Geronimo
1062,Michael Bolton
1063,Michael Cooper
